loan_id,customer_id,application_date,loan_amount,interest_rate,term_months,product_type,default_flag
L000001,C000405,2018-11-18,24033.3,8.35,12,CAR_LOAN,false
L000002,C000430,2018-11-08,17304.9,7.11,60,BIKE_LOAN,false
L000003,C000168,2018-05-02,29633.16,7.2,48,BIKE_LOAN,false
L000004,C000284,2022-03-18,21137.61,6.58,72,BIKE_LOAN,false
L000005,C000317,2021-04-24,36518.32,6.78,12,BIKE_LOAN,false
L000006,C000365,2019-09-24,34065.52,4.4,12,CAR_LOAN,true
L000007,C000158,2022-12-27,18116.53,4.12,24,CAR_LOAN,false
L000008,C000230,2024-03-31,26299.08,4.95,12,CAR_LOAN,false
L000009,C000048,2024-09-11,28117.84,4.45,48,CAR_LOAN,false
L000010,C000199,2018-12-13,33443.44,5.86,24,PERSONAL_LOAN,false
L000011,C000351,2022-04-09,10119.07,4.11,36,BIKE_LOAN,false
L000012,C000086,2022-11-16,14590.4,4.3,12,BIKE_LOAN,false
L000013,C000127,2023-07-24,27939.87,3.67,12,CAR_LOAN,false
L000014,C000486,2022-06-09,16953.12,6.22,36,BIKE_LOAN,false
L000015,C000418,2024-08-31,8717.23,4.42,72,CAR_LOAN,false
L000016,C000091,2022-06-20,43686.46,4.25,72,PERSONAL_LOAN,false
L000017,C000295,2020-09-19,16687.22,4.18,48,BIKE_LOAN,false
L000018,C000289,2020-03-29,27873.54,5.77,72,PERSONAL_LOAN,true
L000019,C000373,2023-03-06,42604.95,3.76,36,PERSONAL_LOAN,false
L000020,C000435,2022-08-03,31265.06,3.34,36,CAR_LOAN,false
L000021,C000079,2022-09-30,36141.22,2.94,60,BIKE_LOAN,false
L000022,C000274,2023-09-07,41786.82,7.72,48,PERSONAL_LOAN,true
L000023,C000496,2022-01-12,32468.64,7.37,60,PERSONAL_LOAN,false
L000024,C000056,2020-10-13,30619.27,4.63,72,PERSONAL_LOAN,true
L000025,C000331,2022-06-25,43606.07,4.49,48,CAR_LOAN,true
L000026,C000133,2020-06-28,24448.4,5.61,60,PERSONAL_LOAN,false
L000027,C000229,2022-03-13,19427.64,7.13,60,PERSONAL_LOAN,false
L000028,C000177,2018-04-11,23276.39,4.27,12,CAR_LOAN,false
L000029,C000374,2019-08-04,17629.8,4.56,24,PERSONAL_LOAN,false
L000030,C000244,2019-02-04,21402.97,6.68,36,CAR_LOAN,false
L000031,C000415,2019-04-17,3948.57,4.56,12,PERSONAL_LOAN,false
L000032,C000477,2020-09-26,24671.74,5.81,36,PERSONAL_LOAN,false
L000033,C000237,2020-08-07,36505.74,6.28,24,PERSONAL_LOAN,false
L000034,C000203,2018-04-30,33970.31,7.8,48,PERSONAL_LOAN,false
L000035,C000003,2020-05-29,11642.95,7.01,12,PERSONAL_LOAN,false
L000036,C000447,2024-01-09,10852.31,4.46,48,CAR_LOAN,false
L000037,C000442,2023-06-28,25164.03,6.33,60,BIKE_LOAN,false
L000038,C000301,2019-04-13,17612.83,7.57,60,CAR_LOAN,false
L000039,C000362,2021-05-03,41584.67,6.04,72,CAR_LOAN,false
L000040,C000123,2021-06-04,7911.85,4.74,24,PERSONAL_LOAN,false
L000041,C000306,2019-07-19,27141.85,5.04,48,PERSONAL_LOAN,false
L000042,C000471,2019-12-11,26306.33,5.44,24,CAR_LOAN,false
L000043,C000231,2024-12-12,5251.67,4.65,12,BIKE_LOAN,false
L000044,C000418,2022-04-22,43480.82,5.53,48,BIKE_LOAN,false
L000045,C000213,2022-12-24,23525.38,3.0,12,CAR_LOAN,false
L000046,C000141,2020-07-09,25579.56,3.51,48,PERSONAL_LOAN,false
L000047,C000393,2023-07-22,26088.5,3.18,12,BIKE_LOAN,false
L000048,C000422,2022-02-11,25765.82,7.04,72,BIKE_LOAN,false
L000049,C000218,2019-02-24,33911.53,6.42,24,BIKE_LOAN,false
L000050,C000017,2023-01-17,14038.24,7.67,12,BIKE_LOAN,false
