loan_id,payment_date,amount,principal_amt,interest_amt,fee_amt,late_fee_amt,channel_id
L000001,2018-12-18,2002.77,1988.83,13.94,1.0,0.0,2
L000001,2019-01-17,2002.77,1988.83,13.94,0.0,0.0,2
L000001,2019-02-16,2002.77,1988.83,13.94,1.0,0.0,3
L000001,2019-03-18,2002.77,1988.83,13.94,1.0,0.0,3
L000001,2019-04-17,2002.77,1988.83,13.94,1.0,0.0,3
L000001,2019-05-17,2002.77,1988.83,13.94,1.0,0.0,1
L000001,2019-06-16,2002.77,1988.83,13.94,1.0,0.0,3
L000001,2019-07-16,2002.77,1988.83,13.94,0.0,0.0,2
L000001,2019-08-15,2002.77,1988.83,13.94,0.0,0.0,2
L000001,2019-09-14,2002.77,1988.83,13.94,2.5,0.0,2
L000001,2019-10-14,2002.77,1988.83,13.94,0.0,0.0,1
L000001,2019-11-13,2002.77,1988.83,13.94,0.0,0.0,2
L000002,2018-12-08,288.42,286.71,1.71,1.0,0.0,2
L000002,2019-01-07,288.42,286.71,1.71,2.5,0.0,3
L000002,2019-02-06,288.42,286.71,1.71,1.0,0.0,3
L000002,2019-03-08,288.42,286.71,1.71,2.5,0.0,2
L000002,2019-04-07,288.42,286.71,1.71,0.0,0.0,2
L000002,2019-05-07,288.42,286.71,1.71,0.0,0.0,2
L000002,2019-06-06,288.42,286.71,1.71,2.5,0.0,2
L000002,2019-07-06,288.42,286.71,1.71,2.5,0.0,1
L000002,2019-08-05,288.42,286.71,1.71,1.0,0.0,2
L000002,2019-09-04,288.42,286.71,1.71,1.0,0.0,2
L000002,2019-10-04,288.42,286.71,1.71,0.0,0.0,1
L000002,2019-11-03,288.42,286.71,1.71,0.0,0.0,1
L000003,2018-06-01,617.36,613.66,3.7,1.0,0.0,1
L000003,2018-07-01,617.36,613.66,3.7,0.0,0.0,1
L000003,2018-07-31,617.36,613.66,3.7,1.0,0.0,1
L000003,2018-08-30,617.36,613.66,3.7,2.5,0.0,3
L000003,2018-09-29,617.36,613.66,3.7,1.0,0.0,1
L000003,2018-10-29,617.36,613.66,3.7,0.0,0.0,3
L000003,2018-11-28,617.36,613.66,3.7,2.5,0.0,2
L000003,2018-12-28,617.36,613.66,3.7,0.0,0.0,1
L000003,2019-01-27,617.36,613.66,3.7,2.5,0.0,3
L000003,2019-02-26,617.36,613.66,3.7,0.0,0.0,1
L000003,2019-03-28,617.36,613.66,3.7,0.0,0.0,2
L000003,2019-04-27,617.36,613.66,3.7,2.5,0.0,3
L000004,2022-04-17,293.58,291.97,1.61,1.0,0.0,2
L000004,2022-05-17,293.58,291.97,1.61,1.0,0.0,1
L000004,2022-06-16,293.58,291.97,1.61,0.0,0.0,1
L000004,2022-07-16,293.58,291.97,1.61,2.5,0.0,3
L000004,2022-08-15,293.58,291.97,1.61,2.5,0.0,2
L000004,2022-09-14,293.58,291.97,1.61,2.5,0.0,2
L000004,2022-10-14,293.58,291.97,1.61,0.0,0.0,1
L000004,2022-11-13,293.58,291.97,1.61,0.0,0.0,3
L000004,2022-12-13,293.58,291.97,1.61,2.5,0.0,2
L000004,2023-01-12,293.58,291.97,1.61,0.0,0.0,1
L000004,2023-02-11,293.58,291.97,1.61,1.0,0.0,1
L000004,2023-03-13,293.58,291.97,1.61,2.5,0.0,3
L000005,2021-05-24,3043.19,3026.0,17.19,0.0,0.0,1
L000005,2021-06-23,3043.19,3026.0,17.19,0.0,0.0,3
L000005,2021-07-23,3043.19,3026.0,17.19,2.5,0.0,3
L000005,2021-08-22,3043.19,3026.0,17.19,1.0,0.0,2
L000005,2021-09-21,3043.19,3026.0,17.19,0.0,0.0,1
L000005,2021-10-21,3043.19,3026.0,17.19,0.0,0.0,2
L000005,2021-11-20,3043.19,3026.0,17.19,0.0,0.0,1
L000005,2021-12-20,3043.19,3026.0,17.19,1.0,0.0,3
L000005,2022-01-19,3043.19,3026.0,17.19,0.0,0.0,1
L000005,2022-02-18,3043.19,3026.0,17.19,0.0,0.0,2
L000005,2022-03-20,3043.19,3026.0,17.19,0.0,0.0,1
L000005,2022-04-19,3043.19,3026.0,17.19,0.0,0.0,3
L000006,2019-10-24,2838.79,2828.38,10.41,1.0,0.0,3
L000006,2019-11-23,2838.79,2828.38,10.41,1.0,0.0,1
L000006,2019-12-23,2838.79,2828.38,10.41,0.0,0.0,2
L000006,2020-01-22,2838.79,2828.38,10.41,2.5,0.0,1
L000007,2023-01-26,754.86,752.27,2.59,2.5,0.0,2
L000007,2023-02-25,754.86,752.27,2.59,2.5,0.0,2
L000007,2023-03-27,754.86,752.27,2.59,0.0,0.0,3
L000007,2023-04-26,754.86,752.27,2.59,1.0,0.0,1
L000007,2023-05-26,754.86,752.27,2.59,2.5,0.0,2
L000007,2023-06-25,754.86,752.27,2.59,1.0,0.0,3
L000007,2023-07-25,754.86,752.27,2.59,1.0,0.0,2
L000007,2023-08-24,754.86,752.27,2.59,0.0,0.0,2
L000007,2023-09-23,754.86,752.27,2.59,2.5,0.0,3
L000007,2023-10-23,754.86,752.27,2.59,1.0,0.0,2
L000007,2023-11-22,754.86,752.27,2.59,2.5,0.0,1
